  #liquid density at 303.00000   K =  722.67389 kg/cu.m
#    fluids/DECANE.FLD  1.0000
 # variables = "percent vol evap"  "temperature (C)" 
     91.30424   174.12017
     91.36386   174.12017
     91.42307   174.12017
     91.48188   174.12017
     91.54028   174.12017
     91.59828   174.12017
     91.65588   174.12017
     91.71309   174.12017
     91.76991   174.12017
     91.82634   174.12017
     91.88238   174.12017
     91.93803   174.12017
     91.99331   174.12017
     92.04820   174.12017
     92.10272   174.12017
     92.15687   174.12017
     92.21064   174.12017
     92.26405   174.12017
     92.31709   174.12017
     92.36976   174.12017
     92.42208   174.12017
     92.47403   174.12017
     92.52563   174.12017
     92.57688   174.12017
     92.62777   174.12017
     92.67832   174.12017
     92.72852   174.12017
     92.77837   174.12017
     92.82788   174.12017
     92.87706   174.12017
     92.92589   174.12017
     92.97440   174.12017
     93.02256   174.12017
     93.07040   174.12017
     93.11791   174.12017
     93.16510   174.12017
     93.21196   174.12017
     93.25850   174.12017
     93.30472   174.12017
     93.35063   174.12017
     93.39622   174.12017
     93.44149   174.12017
     93.48646   174.12017
     93.53112   174.12017
     93.57547   174.12017
     93.61952   174.12017
     93.66326   174.12017
     93.70671   174.12017
     93.74986   174.12017
     93.79271   174.12017
     93.83527   174.12017
     93.87753   174.12017
     93.91951   174.12017
     93.96120   174.12017
     94.00260   174.12017
     94.04372   174.12017
     94.08456   174.12017
     94.12512   174.12017
     94.16540   174.12017
     94.20540   174.12017
     94.24513   174.12017
     94.28459   174.12017
     94.32377   174.12017
     94.36269   174.12017
     94.40134   174.12017
     94.43973   174.12017
     94.47785   174.12017
     94.51571   174.12017
     94.55331   174.12017
     94.59065   174.12017
     94.62774   174.12017
     94.66457   174.12017
     94.70116   174.12017
     94.73749   174.12017
     94.77357   174.12017
     94.80940   174.12017
     94.84499   174.12017
     94.88033   174.12017
     94.91543   174.12017
     94.95029   174.12017
     94.98492   174.12017
     95.01930   174.12017
     95.05345   174.12017
     95.08736   174.12017
     95.12105   174.12017
     95.15450   174.12017
     95.18772   174.12017
     95.22071   174.12017
     95.25348   174.12017
     95.28602   174.12017
     95.31834   174.12017
     95.35044   174.12017
     95.38232   174.12017
     95.41398   174.12017
     95.44542   174.12017
     95.47665   174.12017
     95.50766   174.12017
     95.53846   174.12017
     95.56905   174.12017
     95.59943   174.12017
     95.62960   174.12017
     95.65957   174.12017
     95.68933   174.12017
     95.71888   174.12017
     95.74823   174.12017
     95.77738   174.12017
     95.80634   174.12017
     95.83509   174.12017
     95.86364   174.12017
     95.89200   174.12017
     95.92017   174.12017
     95.94814   174.12017
     95.97592   174.12017
     96.00351   174.12017
     96.03091   174.12017
     96.05812   174.12017
     96.08515   174.12017
     96.11199   174.12017
     96.13865   174.12017
     96.16512   174.12017
     96.19142   174.12017
     96.21753   174.12017
     96.24346   174.12017
     96.26922   174.12017
     96.29480   174.12017
     96.32020   174.12017
     96.34543   174.12017
     96.37049   174.12017
     96.39537   174.12017
     96.42008   174.12017
     96.44463   174.12017
     96.46901   174.12017
     96.49321   174.12017
     96.51726   174.12017
     96.54114   174.12017
     96.56485   174.12017
     96.58840   174.12017
     96.61179   174.12017
     96.63502   174.12017
     96.65809   174.12017
     96.68101   174.12017
     96.70376   174.12017
     96.72636   174.12017
     96.74881   174.12017
     96.77110   174.12017
     96.79324   174.12017
     96.81522   174.12017
     96.83706   174.12017
     96.85874   174.12017
     96.88028   174.12017
     96.90167   174.12017
     96.92291   174.12017
     96.94401   174.12017
     96.96496   174.12017
     96.98577   174.12017
     97.00644   174.12017
     97.02696   174.12017
     97.04735   174.12017
     97.06759   174.12017
     97.08770   174.12017
     97.10766   174.12017
     97.12749   174.12017
     97.14719   174.12017
     97.16675   174.12017
     97.18617   174.12017
     97.20546   174.12017
     97.22462   174.12017
     97.24365   174.12017
     97.26255   174.12017
     97.28132   174.12017
     97.29996   174.12017
     97.31847   174.12017
     97.33686   174.12017
     97.35512   174.12017
     97.37325   174.12017
     97.39126   174.12017
     97.40915   174.12017
     97.42691   174.12017
     97.44455   174.12017
     97.46207   174.12017
     97.47947   174.12017
     97.49675   174.12017
     97.51392   174.12017
     97.53096   174.12017
     97.54789   174.12017
     97.56470   174.12017
     97.58140   174.12017
     97.59798   174.12017
     97.61445   174.12017
     97.63080   174.12017
     97.64705   174.12017
     97.66318   174.12017
     97.67920   174.12017
     97.69511   174.12017
     97.71092   174.12017
     97.72661   174.12017
     97.74220   174.12017
     97.75768   174.12017
     97.77305   174.12017
     97.78832   174.12017
     97.80348   174.12017
     97.81854   174.12017
     97.83350   174.12017
     97.84835   174.12017
     97.86311   174.12017
     97.87776   174.12017
     97.89231   174.12017
     97.90676   174.12017
     97.92111   174.12017
     97.93536   174.12017
     97.94952   174.12017
     97.96358   174.12017
     97.97754   174.12017
